Object_Number, X1, Y1, X2, Y2, Face_Area, Eye_Area_Ratio
165, 431, 190, 596, 355, 26896.00, 0.13
166, 430, 188, 596, 354, 27225.00, 0.12
167, 432, 190, 597, 355, 26896.00, 0.14
168, 428, 188, 597, 357, 28224.00, 0.12
169, 428, 187, 598, 357, 28561.00, 0.13
170, 428, 186, 600, 358, 29241.00, 0.12
171, 429, 187, 599, 357, 28561.00, 0.11
172, 431, 188, 598, 355, 27556.00, 0.13
173, 431, 188, 599, 356, 27889.00, 0.12
174, 430, 187, 601, 358, 28900.00, 0.13
175, 433, 189, 597, 353, 26569.00, 0.13
176, 431, 188, 598, 355, 27556.00, 0.12
177, 433, 189, 599, 355, 27225.00, 0.12
178, 430, 187, 600, 357, 28561.00, 0.12
179, 431, 187, 599, 355, 27889.00, 0.13
180, 429, 187, 599, 357, 28561.00, 0.12
181, 431, 187, 601, 357, 28561.00, 0.13
182, 430, 186, 602, 358, 29241.00, 0.11
183, 429, 186, 601, 358, 29241.00, 0.13
184, 428, 185, 603, 360, 30276.00, 0.10
185, 432, 187, 602, 357, 28561.00, 0.12
186, 431, 185, 605, 359, 29929.00, 0.12
187, 430, 185, 604, 359, 29929.00, 0.11
188, 432, 186, 604, 358, 29241.00, 0.12
189, 434, 188, 601, 355, 27556.00, 0.12
190, 431, 186, 601, 356, 28561.00, 0.13
191, 431, 185, 604, 358, 29584.00, 0.12
192, 430, 184, 604, 358, 29929.00, 0.11
193, 430, 187, 601, 358, 28900.00, 0.00
194, 428, 185, 604, 361, 30625.00, 0.05
195, 429, 183, 605, 359, 30625.00, 0.00
196, 434, 182, 604, 352, 28561.00, 0.00
197, 432, 179, 603, 350, 28900.00, 0.00
198, 435, 178, 604, 347, 28224.00, 0.12
199, 434, 174, 605, 345, 28900.00, 0.13
200, 436, 174, 602, 340, 27225.00, 0.15
201, 437, 171, 605, 339, 27889.00, 0.13
202, 437, 172, 604, 339, 27556.00, 0.13
203, 435, 169, 605, 339, 28561.00, 0.11
204, 438, 168, 606, 336, 27889.00, 0.12
205, 440, 169, 606, 335, 27225.00, 0.12
206, 440, 169, 606, 335, 27225.00, 0.12
207, 440, 169, 606, 335, 27225.00, 0.13
208, 441, 169, 606, 334, 26896.00, 0.13
